cycle,c,tick_production_Tc
324,taxi,nil
325,minibus,nil
325,tgv,nil
325,ter,nil
325,truck,nil
325,taxi,nil
326,minibus,nil
326,tgv,nil
326,ter,nil
326,truck,nil
326,taxi,nil
327,minibus,nil
327,tgv,nil
327,ter,nil
327,truck,nil
327,taxi,nil
328,minibus,nil
328,tgv,nil
328,ter,nil
328,truck,nil
328,taxi,nil
329,minibus,nil
329,tgv,nil
329,ter,nil
329,truck,nil
329,taxi,nil
330,minibus,nil
330,tgv,nil
330,ter,nil
330,truck,nil
330,taxi,nil
331,minibus,nil
331,tgv,nil
331,ter,nil
331,truck,nil
331,taxi,nil
332,minibus,nil
332,tgv,nil
332,ter,nil
332,truck,nil
332,taxi,nil
333,minibus,nil
333,tgv,nil
333,ter,nil
333,truck,nil
333,taxi,nil
334,minibus,nil
334,tgv,nil
334,ter,nil
334,truck,nil
334,taxi,nil
335,minibus,nil
335,tgv,nil
335,ter,nil
335,truck,nil
335,taxi,nil
336,minibus,nil
336,tgv,nil
336,ter,nil
336,truck,nil
336,taxi,nil
337,minibus,nil
337,tgv,nil
337,ter,nil
337,truck,nil
337,taxi,nil
338,minibus,nil
338,tgv,nil
338,ter,nil
338,truck,nil
338,taxi,nil
339,minibus,nil
339,tgv,nil
339,ter,nil
339,truck,nil
339,taxi,nil
340,minibus,nil
340,tgv,nil
340,ter,nil
340,truck,nil
340,taxi,nil
341,minibus,nil
341,tgv,nil
341,ter,nil
341,truck,nil
341,taxi,nil
342,minibus,nil
342,tgv,nil
342,ter,nil
342,truck,nil
342,taxi,nil
343,minibus,nil
343,tgv,nil
343,ter,nil
343,truck,nil
343,taxi,nil
344,minibus,nil
344,tgv,nil
344,ter,nil
344,truck,nil
344,taxi,nil
345,minibus,nil
345,tgv,nil
345,ter,nil
345,truck,nil
345,taxi,nil
346,minibus,nil
346,tgv,nil
346,ter,nil
346,truck,nil
346,taxi,nil
347,minibus,nil
347,tgv,nil
347,ter,nil
347,truck,nil
347,taxi,nil
348,minibus,nil
348,tgv,nil
348,ter,nil
348,truck,nil
348,taxi,nil
349,minibus,nil
349,tgv,nil
349,ter,nil
349,truck,nil
349,taxi,nil
350,minibus,nil
350,tgv,nil
350,ter,nil
350,truck,nil
350,taxi,nil
351,minibus,nil
351,tgv,nil
351,ter,nil
351,truck,nil
351,taxi,nil
352,minibus,nil
352,tgv,nil
352,ter,nil
352,truck,nil
352,taxi,nil
353,minibus,nil
353,tgv,nil
353,ter,nil
353,truck,nil
353,taxi,nil
354,minibus,nil
354,tgv,nil
354,ter,nil
354,truck,nil
354,taxi,nil
355,minibus,nil
355,tgv,nil
355,ter,nil
355,truck,nil
355,taxi,nil
356,minibus,nil
356,tgv,nil
356,ter,nil
356,truck,nil
356,taxi,nil
357,minibus,nil
357,tgv,nil
357,ter,nil
357,truck,nil
357,taxi,nil
358,minibus,nil
358,tgv,nil
358,ter,nil
358,truck,nil
358,taxi,nil
359,minibus,nil
359,tgv,nil
359,ter,nil
359,truck,nil
359,taxi,nil
360,minibus,nil
360,tgv,nil
360,ter,nil
360,truck,nil
360,taxi,nil
361,minibus,nil
361,tgv,nil
361,ter,nil
361,truck,nil
361,taxi,nil
362,minibus,nil
362,tgv,nil
362,ter,nil
362,truck,nil
362,taxi,nil
363,minibus,nil
363,tgv,nil
363,ter,nil
363,truck,nil
363,taxi,nil
364,minibus,nil
364,tgv,nil
364,ter,nil
364,truck,nil
364,taxi,nil
365,minibus,nil
365,tgv,nil
365,ter,nil
365,truck,nil
365,taxi,nil
366,minibus,nil
366,tgv,nil
366,ter,nil
366,truck,nil
366,taxi,nil
367,minibus,nil
367,tgv,nil
367,ter,nil
367,truck,nil
367,taxi,nil
368,minibus,nil
368,tgv,nil
368,ter,nil
368,truck,nil
368,taxi,nil
369,minibus,nil
369,tgv,nil
369,ter,nil
369,truck,nil
369,taxi,nil
370,minibus,nil
370,tgv,nil
370,ter,nil
370,truck,nil
370,taxi,nil
371,minibus,nil
371,tgv,nil
371,ter,nil
371,truck,nil
371,taxi,nil
372,minibus,nil
372,tgv,nil
372,ter,nil
372,truck,nil
372,taxi,nil
373,minibus,nil
373,tgv,nil
373,ter,nil
373,truck,nil
373,taxi,nil
374,minibus,nil
374,tgv,nil
374,ter,nil
374,truck,nil
374,taxi,nil
375,minibus,nil
375,tgv,nil
375,ter,nil
375,truck,nil
375,taxi,nil
376,minibus,nil
376,tgv,nil
376,ter,nil
376,truck,nil
376,taxi,nil
377,minibus,nil
377,tgv,nil
377,ter,nil
377,truck,nil
377,taxi,nil
378,minibus,nil
378,tgv,nil
378,ter,nil
378,truck,nil
378,taxi,nil
379,minibus,nil
379,tgv,nil
379,ter,nil
379,truck,nil
379,taxi,nil
380,minibus,nil
380,tgv,nil
380,ter,nil
380,truck,nil
380,taxi,nil
381,minibus,nil
381,tgv,nil
381,ter,nil
381,truck,nil
381,taxi,nil
382,minibus,nil
382,tgv,nil
382,ter,nil
382,truck,nil
382,taxi,nil
383,minibus,nil
383,tgv,nil
383,ter,nil
383,truck,nil
383,taxi,nil
384,minibus,nil
384,tgv,nil
384,ter,nil
384,truck,nil
384,taxi,nil
385,minibus,nil
385,tgv,nil
385,ter,nil
385,truck,nil
385,taxi,nil
386,minibus,nil
386,tgv,nil
386,ter,nil
386,truck,nil
386,taxi,nil
387,minibus,nil
387,tgv,nil
387,ter,nil
387,truck,nil
387,taxi,nil
388,minibus,nil
388,tgv,nil
388,ter,nil
388,truck,nil
388,taxi,nil
389,minibus,nil
389,tgv,nil
389,ter,nil
389,truck,nil
389,taxi,nil
390,minibus,nil
390,tgv,nil
390,ter,nil
390,truck,nil
390,taxi,nil
391,minibus,nil
391,tgv,nil
391,ter,nil
391,truck,nil
391,taxi,nil
392,minibus,nil
392,tgv,nil
392,ter,nil
392,truck,nil
392,taxi,nil
393,minibus,nil
393,tgv,nil
393,ter,nil
393,truck,nil
393,taxi,nil
394,minibus,nil
394,tgv,nil
394,ter,nil
394,truck,nil
394,taxi,nil
395,minibus,nil
395,tgv,nil
395,ter,nil
395,truck,nil
395,taxi,nil
396,minibus,nil
396,tgv,nil
396,ter,nil
396,truck,nil
396,taxi,nil
397,minibus,nil
397,tgv,nil
397,ter,nil
397,truck,nil
397,taxi,nil
398,minibus,nil
398,tgv,nil
398,ter,nil
398,truck,nil
398,taxi,nil
399,minibus,nil
399,tgv,nil
399,ter,nil
399,truck,nil
399,taxi,nil
400,minibus,nil
400,tgv,nil
400,ter,nil
400,truck,nil
400,taxi,nil
401,minibus,nil
401,tgv,nil
401,ter,nil
401,truck,nil
401,taxi,nil
402,minibus,nil
402,tgv,nil
402,ter,nil
402,truck,nil
402,taxi,nil
403,minibus,nil
403,tgv,nil
403,ter,nil
403,truck,nil
403,taxi,nil
404,minibus,nil
404,tgv,nil
404,ter,nil
404,truck,nil
404,taxi,nil
405,minibus,nil
405,tgv,nil
405,ter,nil
405,truck,nil
405,taxi,nil
406,minibus,nil
406,tgv,nil
406,ter,nil
406,truck,nil
406,taxi,nil
407,minibus,nil
407,tgv,nil
407,ter,nil
407,truck,nil
407,taxi,nil
408,minibus,nil
408,tgv,nil
408,ter,nil
408,truck,nil
408,taxi,nil
409,minibus,nil
409,tgv,nil
409,ter,nil
409,truck,nil
409,taxi,nil
410,minibus,nil
410,tgv,nil
410,ter,nil
410,truck,nil
410,taxi,nil
411,minibus,nil
411,tgv,nil
411,ter,nil
411,truck,nil
411,taxi,nil
412,minibus,nil
412,tgv,nil
412,ter,nil
412,truck,nil
412,taxi,nil
413,minibus,nil
413,tgv,nil
413,ter,nil
413,truck,nil
413,taxi,nil
414,minibus,nil
414,tgv,nil
414,ter,nil
414,truck,nil
414,taxi,nil
415,minibus,nil
415,tgv,nil
415,ter,nil
415,truck,nil
415,taxi,nil
416,minibus,nil
416,tgv,nil
416,ter,nil
416,truck,nil
416,taxi,nil
417,minibus,nil
417,tgv,nil
417,ter,nil
417,truck,nil
417,taxi,nil
418,minibus,nil
418,tgv,nil
418,ter,nil
418,truck,nil
418,taxi,nil
419,minibus,nil
419,tgv,nil
419,ter,nil
419,truck,nil
419,taxi,nil
420,minibus,nil
420,tgv,nil
420,ter,nil
420,truck,nil
420,taxi,nil
421,minibus,nil
421,tgv,nil
421,ter,nil
421,truck,nil
421,taxi,nil
422,minibus,nil
422,tgv,nil
422,ter,nil
422,truck,nil
422,taxi,nil
423,minibus,nil
423,tgv,nil
423,ter,nil
423,truck,nil
423,taxi,nil
424,minibus,nil
424,tgv,nil
424,ter,nil
424,truck,nil
424,taxi,nil
425,minibus,nil
425,tgv,nil
425,ter,nil
425,truck,nil
425,taxi,nil
426,minibus,nil
426,tgv,nil
426,ter,nil
426,truck,nil
426,taxi,nil
427,minibus,nil
427,tgv,nil
427,ter,nil
427,truck,nil
427,taxi,nil
428,minibus,nil
428,tgv,nil
428,ter,nil
428,truck,nil
428,taxi,nil
429,minibus,nil
429,tgv,nil
429,ter,nil
429,truck,nil
429,taxi,nil
430,minibus,nil
430,tgv,nil
430,ter,nil
430,truck,nil
430,taxi,nil
431,minibus,nil
431,tgv,nil
431,ter,nil
431,truck,nil
431,taxi,nil
432,minibus,nil
432,tgv,nil
432,ter,nil
432,truck,nil
432,taxi,nil
433,minibus,nil
433,tgv,nil
433,ter,nil
433,truck,nil
433,taxi,nil
434,minibus,nil
434,tgv,nil
434,ter,nil
434,truck,nil
434,taxi,nil
435,minibus,nil
435,tgv,nil
435,ter,nil
435,truck,nil
435,taxi,nil
436,minibus,nil
436,tgv,nil
436,ter,nil
436,truck,nil
436,taxi,nil
437,minibus,nil
437,tgv,nil
437,ter,nil
437,truck,nil
437,taxi,nil
438,minibus,nil
438,tgv,nil
438,ter,nil
438,truck,nil
438,taxi,nil
439,minibus,nil
439,tgv,nil
439,ter,nil
439,truck,nil
439,taxi,nil
440,minibus,nil
440,tgv,nil
440,ter,nil
440,truck,nil
440,taxi,nil
441,minibus,nil
441,tgv,nil
441,ter,nil
441,truck,nil
441,taxi,nil
442,minibus,nil
442,tgv,nil
442,ter,nil
442,truck,nil
442,taxi,nil
443,minibus,nil
443,tgv,nil
443,ter,nil
443,truck,nil
443,taxi,nil
444,minibus,nil
444,tgv,nil
444,ter,nil
444,truck,nil
444,taxi,nil
445,minibus,nil
445,tgv,nil
445,ter,nil
445,truck,nil
445,taxi,nil
446,minibus,nil
446,tgv,nil
446,ter,nil
446,truck,nil
446,taxi,nil
447,minibus,nil
447,tgv,nil
447,ter,nil
447,truck,nil
447,taxi,nil
448,minibus,nil
448,tgv,nil
448,ter,nil
448,truck,nil
448,taxi,nil
449,minibus,nil
449,tgv,nil
449,ter,nil
449,truck,nil
449,taxi,nil
450,minibus,nil
450,tgv,nil
450,ter,nil
450,truck,nil
450,taxi,nil
451,minibus,nil
451,tgv,nil
451,ter,nil
451,truck,nil
451,taxi,nil
452,minibus,nil
452,tgv,nil
452,ter,nil
452,truck,nil
452,taxi,nil
453,minibus,nil
453,tgv,nil
453,ter,nil
453,truck,nil
453,taxi,nil
454,minibus,nil
454,tgv,nil
454,ter,nil
454,truck,nil
454,taxi,nil
455,minibus,nil
455,tgv,nil
455,ter,nil
455,truck,nil
455,taxi,nil
456,minibus,nil
456,tgv,nil
456,ter,nil
456,truck,nil
456,taxi,nil
457,minibus,nil
457,tgv,nil
457,ter,nil
457,truck,nil
457,taxi,nil
458,minibus,nil
458,tgv,nil
458,ter,nil
458,truck,nil
458,taxi,nil
459,minibus,nil
459,tgv,nil
459,ter,nil
459,truck,nil
459,taxi,nil
460,minibus,nil
460,tgv,nil
460,ter,nil
460,truck,nil
460,taxi,nil
461,minibus,nil
461,tgv,nil
461,ter,nil
461,truck,nil
461,taxi,nil
462,minibus,nil
462,tgv,nil
462,ter,nil
462,truck,nil
462,taxi,nil
463,minibus,nil
463,tgv,nil
463,ter,nil
463,truck,nil
463,taxi,nil
464,minibus,nil
464,tgv,nil
464,ter,nil
464,truck,nil
464,taxi,nil
465,minibus,nil
465,tgv,nil
465,ter,nil
465,truck,nil
465,taxi,nil
466,minibus,nil
466,tgv,nil
466,ter,nil
466,truck,nil
466,taxi,nil
467,minibus,nil
467,tgv,nil
467,ter,nil
467,truck,nil
467,taxi,nil
468,minibus,nil
468,tgv,nil
468,ter,nil
468,truck,nil
468,taxi,nil
469,minibus,nil
469,tgv,nil
469,ter,nil
469,truck,nil
469,taxi,nil
470,minibus,nil
470,tgv,nil
470,ter,nil
470,truck,nil
470,taxi,nil
471,minibus,nil
471,tgv,nil
471,ter,nil
471,truck,nil
471,taxi,nil
472,minibus,nil
472,tgv,nil
472,ter,nil
472,truck,nil
472,taxi,nil
473,minibus,nil
473,tgv,nil
473,ter,nil
473,truck,nil
473,taxi,nil
474,minibus,nil
474,tgv,nil
474,ter,nil
474,truck,nil
474,taxi,nil
475,minibus,nil
475,tgv,nil
475,ter,nil
475,truck,nil
475,taxi,nil
476,minibus,nil
476,tgv,nil
476,ter,nil
476,truck,nil
476,taxi,nil
477,minibus,nil
477,tgv,nil
477,ter,nil
477,truck,nil
477,taxi,nil
478,minibus,nil
478,tgv,nil
478,ter,nil
478,truck,nil
478,taxi,nil
479,minibus,nil
479,tgv,nil
479,ter,nil
479,truck,nil
479,taxi,nil
480,minibus,nil
480,tgv,nil
480,ter,nil
480,truck,nil
480,taxi,nil
481,minibus,nil
481,tgv,nil
481,ter,nil
481,truck,nil
481,taxi,nil
482,minibus,nil
482,tgv,nil
482,ter,nil
482,truck,nil
482,taxi,nil
483,minibus,nil
483,tgv,nil
483,ter,nil
483,truck,nil
483,taxi,nil
484,minibus,nil
484,tgv,nil
484,ter,nil
484,truck,nil
484,taxi,nil
485,minibus,nil
485,tgv,nil
485,ter,nil
485,truck,nil
485,taxi,nil
486,minibus,nil
486,tgv,nil
486,ter,nil
486,truck,nil
486,taxi,nil
487,minibus,nil
487,tgv,nil
487,ter,nil
487,truck,nil
487,taxi,nil
488,minibus,nil
488,tgv,nil
488,ter,nil
488,truck,nil
488,taxi,nil
489,minibus,nil
489,tgv,nil
489,ter,nil
489,truck,nil
489,taxi,nil
490,minibus,nil
490,tgv,nil
490,ter,nil
490,truck,nil
490,taxi,nil
491,minibus,nil
491,tgv,nil
491,ter,nil
491,truck,nil
491,taxi,nil
492,minibus,nil
492,tgv,nil
492,ter,nil
492,truck,nil
492,taxi,nil
493,minibus,nil
493,tgv,nil
493,ter,nil
493,truck,nil
493,taxi,nil
494,minibus,nil
494,tgv,nil
494,ter,nil
494,truck,nil
494,taxi,nil
495,minibus,nil
495,tgv,nil
495,ter,nil
495,truck,nil
495,taxi,nil
496,minibus,nil
496,tgv,nil
496,ter,nil
496,truck,nil
496,taxi,nil
497,minibus,nil
497,tgv,nil
497,ter,nil
497,truck,nil
497,taxi,nil
498,minibus,nil
498,tgv,nil
498,ter,nil
498,truck,nil
498,taxi,nil
499,minibus,nil
499,tgv,nil
499,ter,nil
499,truck,nil
499,taxi,nil
500,minibus,nil
500,tgv,nil
500,ter,nil
500,truck,nil
500,taxi,nil
501,minibus,nil
501,tgv,nil
501,ter,nil
501,truck,nil
501,taxi,nil
502,minibus,nil
502,tgv,nil
502,ter,nil
502,truck,nil
502,taxi,nil
503,minibus,nil
503,tgv,nil
503,ter,nil
503,truck,nil
503,taxi,nil
504,minibus,nil
504,tgv,nil
504,ter,nil
504,truck,nil
504,taxi,nil
505,minibus,nil
505,tgv,nil
505,ter,nil
505,truck,nil
505,taxi,nil
506,minibus,nil
506,tgv,nil
506,ter,nil
506,truck,nil
506,taxi,nil
507,minibus,nil
507,tgv,nil
507,ter,nil
507,truck,nil
507,taxi,nil
508,minibus,nil
508,tgv,nil
508,ter,nil
508,truck,nil
508,taxi,nil
509,minibus,nil
509,tgv,nil
509,ter,nil
509,truck,nil
509,taxi,nil
510,minibus,nil
510,tgv,nil
510,ter,nil
510,truck,nil
510,taxi,nil
511,minibus,nil
511,tgv,nil
511,ter,nil
511,truck,nil
511,taxi,nil
512,minibus,nil
512,tgv,nil
512,ter,nil
512,truck,nil
512,taxi,nil
513,minibus,nil
513,tgv,nil
513,ter,nil
513,truck,nil
513,taxi,nil
514,minibus,nil
514,tgv,nil
514,ter,nil
514,truck,nil
514,taxi,nil
515,minibus,nil
515,tgv,nil
515,ter,nil
515,truck,nil
515,taxi,nil
516,minibus,nil
516,tgv,nil
516,ter,nil
516,truck,nil
516,taxi,nil
517,minibus,nil
517,tgv,nil
517,ter,nil
517,truck,nil
517,taxi,nil
518,minibus,nil
518,tgv,nil
518,ter,nil
518,truck,nil
518,taxi,nil
519,minibus,nil
519,tgv,nil
519,ter,nil
519,truck,nil
519,taxi,nil
520,minibus,nil
520,tgv,nil
520,ter,nil
520,truck,nil
520,taxi,nil
521,minibus,nil
521,tgv,nil
521,ter,nil
521,truck,nil
521,taxi,nil
522,minibus,nil
522,tgv,nil
522,ter,nil
522,truck,nil
522,taxi,nil
523,minibus,nil
523,tgv,nil
523,ter,nil
523,truck,nil
523,taxi,nil
524,minibus,nil
524,tgv,nil
524,ter,nil
524,truck,nil
524,taxi,nil
525,minibus,nil
525,tgv,nil
525,ter,nil
525,truck,nil
525,taxi,nil
526,minibus,nil
526,tgv,nil
526,ter,nil
526,truck,nil
526,taxi,nil
527,minibus,nil
527,tgv,nil
527,ter,nil
527,truck,nil
527,taxi,nil
528,minibus,nil
528,tgv,nil
528,ter,nil
528,truck,nil
528,taxi,nil
529,minibus,nil
529,tgv,nil
529,ter,nil
529,truck,nil
529,taxi,nil
530,minibus,nil
530,tgv,nil
530,ter,nil
530,truck,nil
530,taxi,nil
531,minibus,nil
531,tgv,nil
531,ter,nil
531,truck,nil
531,taxi,nil
532,minibus,nil
532,tgv,nil
532,ter,nil
532,truck,nil
532,taxi,nil
533,minibus,nil
533,tgv,nil
533,ter,nil
533,truck,nil
533,taxi,nil
534,minibus,nil
534,tgv,nil
534,ter,nil
534,truck,nil
534,taxi,nil
535,minibus,nil
535,tgv,nil
535,ter,nil
535,truck,nil
535,taxi,nil
536,minibus,nil
536,tgv,nil
536,ter,nil
536,truck,nil
536,taxi,nil
537,minibus,nil
537,tgv,nil
537,ter,nil
537,truck,nil
537,taxi,nil
538,minibus,nil
538,tgv,nil
538,ter,nil
538,truck,nil
538,taxi,nil
539,minibus,nil
539,tgv,nil
539,ter,nil
539,truck,nil
539,taxi,nil
540,minibus,nil
540,tgv,nil
540,ter,nil
540,truck,nil
540,taxi,nil
541,minibus,nil
541,tgv,nil
541,ter,nil
541,truck,nil
541,taxi,nil
542,minibus,nil
542,tgv,nil
542,ter,nil
542,truck,nil
542,taxi,nil
543,minibus,nil
543,tgv,nil
543,ter,nil
543,truck,nil
543,taxi,nil
544,minibus,nil
544,tgv,nil
544,ter,nil
544,truck,nil
544,taxi,nil
545,minibus,nil
545,tgv,nil
545,ter,nil
545,truck,nil
545,taxi,nil
546,minibus,nil
546,tgv,nil
546,ter,nil
546,truck,nil
546,taxi,nil
547,minibus,nil
547,tgv,nil
547,ter,nil
547,truck,nil
547,taxi,nil
548,minibus,nil
548,tgv,nil
548,ter,nil
548,truck,nil
548,taxi,nil
549,minibus,nil
549,tgv,nil
549,ter,nil
549,truck,nil
549,taxi,nil
550,minibus,nil
550,tgv,nil
550,ter,nil
550,truck,nil
550,taxi,nil
551,minibus,nil
551,tgv,nil
551,ter,nil
551,truck,nil
551,taxi,nil
552,minibus,nil
552,tgv,nil
552,ter,nil
552,truck,nil
552,taxi,nil
553,minibus,nil
553,tgv,nil
553,ter,nil
553,truck,nil
553,taxi,nil
554,minibus,nil
554,tgv,nil
554,ter,nil
554,truck,nil
554,taxi,nil
555,minibus,nil
555,tgv,nil
555,ter,nil
555,truck,nil
555,taxi,nil
556,minibus,nil
556,tgv,nil
556,ter,nil
556,truck,nil
556,taxi,nil
557,minibus,nil
557,tgv,nil
557,ter,nil
557,truck,nil
557,taxi,nil
558,minibus,nil
558,tgv,nil
558,ter,nil
558,truck,nil
558,taxi,nil
559,minibus,nil
559,tgv,nil
559,ter,nil
559,truck,nil
559,taxi,nil
560,minibus,nil
560,tgv,nil
560,ter,nil
560,truck,nil
560,taxi,nil
561,minibus,nil
561,tgv,nil
561,ter,nil
561,truck,nil
561,taxi,nil
562,minibus,nil
562,tgv,nil
562,ter,nil
562,truck,nil
562,taxi,nil
563,minibus,nil
563,tgv,nil
563,ter,nil
563,truck,nil
563,taxi,nil
564,minibus,nil
564,tgv,nil
564,ter,nil
564,truck,nil
564,taxi,nil
565,minibus,nil
565,tgv,nil
565,ter,nil
565,truck,nil
565,taxi,nil
566,minibus,nil
566,tgv,nil
566,ter,nil
566,truck,nil
566,taxi,nil
567,minibus,nil
567,tgv,nil
567,ter,nil
567,truck,nil
567,taxi,nil
568,minibus,nil
568,tgv,nil
568,ter,nil
568,truck,nil
568,taxi,nil
569,minibus,nil
569,tgv,nil
569,ter,nil
569,truck,nil
569,taxi,nil
570,minibus,nil
570,tgv,nil
570,ter,nil
570,truck,nil
570,taxi,nil
571,minibus,nil
571,tgv,nil
571,ter,nil
571,truck,nil
571,taxi,nil
572,minibus,nil
572,tgv,nil
572,ter,nil
572,truck,nil
572,taxi,nil
573,minibus,nil
573,tgv,nil
573,ter,nil
573,truck,nil
573,taxi,nil
574,minibus,nil
574,tgv,nil
574,ter,nil
574,truck,nil
574,taxi,nil
575,minibus,nil
575,tgv,nil
575,ter,nil
575,truck,nil
575,taxi,nil
576,minibus,nil
576,tgv,nil
576,ter,nil
576,truck,nil
576,taxi,nil
577,minibus,nil
577,tgv,nil
577,ter,nil
577,truck,nil
577,taxi,nil
578,minibus,nil
578,tgv,nil
578,ter,nil
578,truck,nil
578,taxi,nil
579,minibus,nil
579,tgv,nil
579,ter,nil
579,truck,nil
579,taxi,nil
580,minibus,nil
580,tgv,nil
580,ter,nil
580,truck,nil
580,taxi,nil
581,minibus,nil
581,tgv,nil
581,ter,nil
581,truck,nil
581,taxi,nil
582,minibus,nil
582,tgv,nil
582,ter,nil
582,truck,nil
582,taxi,nil
583,minibus,nil
583,tgv,nil
583,ter,nil
583,truck,nil
583,taxi,nil
584,minibus,nil
584,tgv,nil
584,ter,nil
584,truck,nil
584,taxi,nil
585,minibus,nil
585,tgv,nil
585,ter,nil
585,truck,nil
585,taxi,nil
586,minibus,nil
586,tgv,nil
586,ter,nil
586,truck,nil
586,taxi,nil
587,minibus,nil
587,tgv,nil
587,ter,nil
587,truck,nil
587,taxi,nil
588,minibus,nil
588,tgv,nil
588,ter,nil
588,truck,nil
588,taxi,nil
589,minibus,nil
589,tgv,nil
589,ter,nil
589,truck,nil
589,taxi,nil
590,minibus,nil
590,tgv,nil
590,ter,nil
590,truck,nil
590,taxi,nil
591,minibus,nil
591,tgv,nil
591,ter,nil
591,truck,nil
591,taxi,nil
592,minibus,nil
592,tgv,nil
592,ter,nil
592,truck,nil
592,taxi,nil
593,minibus,nil
593,tgv,nil
593,ter,nil
593,truck,nil
593,taxi,nil
594,minibus,nil
594,tgv,nil
594,ter,nil
594,truck,nil
594,taxi,nil
595,minibus,nil
595,tgv,nil
595,ter,nil
595,truck,nil
595,taxi,nil
596,minibus,nil
596,tgv,nil
596,ter,nil
596,truck,nil
596,taxi,nil
597,minibus,nil
597,tgv,nil
597,ter,nil
597,truck,nil
597,taxi,nil
598,minibus,nil
598,tgv,nil
598,ter,nil
598,truck,nil
598,taxi,nil
599,minibus,nil
599,tgv,nil
599,ter,nil
599,truck,nil
599,taxi,nil
600,minibus,nil
600,tgv,nil
600,ter,nil
600,truck,nil
600,taxi,nil
601,minibus,nil
601,tgv,nil
601,ter,nil
601,truck,nil
601,taxi,nil
602,minibus,nil
602,tgv,nil
602,ter,nil
602,truck,nil
602,taxi,nil
603,minibus,nil
603,tgv,nil
603,ter,nil
603,truck,nil
603,taxi,nil
604,minibus,nil
604,tgv,nil
604,ter,nil
604,truck,nil
604,taxi,nil
605,minibus,nil
605,tgv,nil
605,ter,nil
605,truck,nil
605,taxi,nil
606,minibus,nil
606,tgv,nil
606,ter,nil
606,truck,nil
606,taxi,nil
607,minibus,nil
607,tgv,nil
607,ter,nil
607,truck,nil
607,taxi,nil
608,minibus,nil
608,tgv,nil
608,ter,nil
608,truck,nil
608,taxi,nil
609,minibus,nil
609,tgv,nil
609,ter,nil
609,truck,nil
609,taxi,nil
610,minibus,nil
610,tgv,nil
610,ter,nil
610,truck,nil
610,taxi,nil
611,minibus,nil
611,tgv,nil
611,ter,nil
611,truck,nil
611,taxi,nil
612,minibus,nil
612,tgv,nil
612,ter,nil
612,truck,nil
612,taxi,nil
613,minibus,nil
613,tgv,nil
613,ter,nil
613,truck,nil
613,taxi,nil
614,minibus,nil
614,tgv,nil
614,ter,nil
614,truck,nil
614,taxi,nil
615,minibus,nil
615,tgv,nil
615,ter,nil
615,truck,nil
615,taxi,nil
616,minibus,nil
616,tgv,nil
616,ter,nil
616,truck,nil
616,taxi,nil
617,minibus,nil
617,tgv,nil
617,ter,nil
617,truck,nil
617,taxi,nil
618,minibus,nil
618,tgv,nil
618,ter,nil
618,truck,nil
618,taxi,nil
619,minibus,nil
619,tgv,nil
619,ter,nil
619,truck,nil
619,taxi,nil
620,minibus,nil
620,tgv,nil
620,ter,nil
620,truck,nil
620,taxi,nil
621,minibus,nil
621,tgv,nil
621,ter,nil
621,truck,nil
621,taxi,nil
622,minibus,nil
622,tgv,nil
622,ter,nil
622,truck,nil
622,taxi,nil
623,minibus,nil
623,tgv,nil
623,ter,nil
623,truck,nil
623,taxi,nil
624,minibus,nil
624,tgv,nil
624,ter,nil
624,truck,nil
624,taxi,nil
625,minibus,nil
625,tgv,nil
625,ter,nil
625,truck,nil
625,taxi,nil
626,minibus,nil
626,tgv,nil
626,ter,nil
626,truck,nil
626,taxi,nil
627,minibus,nil
627,tgv,nil
627,ter,nil
627,truck,nil
627,taxi,nil
628,minibus,nil
628,tgv,nil
628,ter,nil
628,truck,nil
628,taxi,nil
629,minibus,nil
629,tgv,nil
629,ter,nil
629,truck,nil
629,taxi,nil
630,minibus,nil
630,tgv,nil
630,ter,nil
630,truck,nil
630,taxi,nil
631,minibus,nil
631,tgv,nil
631,ter,nil
631,truck,nil
631,taxi,nil
632,minibus,nil
632,tgv,nil
632,ter,nil
632,truck,nil
632,taxi,nil
633,minibus,nil
633,tgv,nil
633,ter,nil
633,truck,nil
633,taxi,nil
634,minibus,nil
634,tgv,nil
634,ter,nil
634,truck,nil
634,taxi,nil
635,minibus,nil
635,tgv,nil
635,ter,nil
635,truck,nil
635,taxi,nil
636,minibus,nil
636,tgv,nil
636,ter,nil
636,truck,nil
636,taxi,nil
637,minibus,nil
637,tgv,nil
637,ter,nil
637,truck,nil
637,taxi,nil
638,minibus,nil
638,tgv,nil
638,ter,nil
638,truck,nil
638,taxi,nil
639,minibus,nil
639,tgv,nil
639,ter,nil
639,truck,nil
639,taxi,nil
640,minibus,nil
640,tgv,nil
640,ter,nil
640,truck,nil
640,taxi,nil
641,minibus,nil
641,tgv,nil
641,ter,nil
641,truck,nil
641,taxi,nil
642,minibus,nil
642,tgv,nil
642,ter,nil
642,truck,nil
642,taxi,nil
643,minibus,nil
643,tgv,nil
643,ter,nil
643,truck,nil
643,taxi,nil
644,minibus,nil
644,tgv,nil
644,ter,nil
644,truck,nil
644,taxi,nil
645,minibus,nil
645,tgv,nil
645,ter,nil
645,truck,nil
645,taxi,nil
646,minibus,nil
646,tgv,nil
646,ter,nil
646,truck,nil
646,taxi,nil
647,minibus,nil
647,tgv,nil
647,ter,nil
647,truck,nil
647,taxi,nil
648,minibus,nil
648,tgv,nil
648,ter,nil
648,truck,nil
648,taxi,nil
649,minibus,nil
649,tgv,nil
649,ter,nil
649,truck,nil
649,taxi,nil
